Title,Year,Source,DOI,Keyword,Any location CWTS core
How to conduct a bibliometric analysis: An overview and guidelines,2021,Journal of Business Research,https://doi.org/10.1016/j.jbusres.2021.04.070,Bibliometrics|Field (mathematics)|Data science|Resource (disambiguation)|Computer science|Management science|Focus (optics)|Library science|Engineering|Mathematics,True|False
Analyzing the Past to Prepare for the Future: Writing a Literature Review,2002,MIS Quarterly,https://doi.org/10.2307/4132319,Foundation (evidence)|Engineering ethics|Knowledge management|Feature (linguistics)|Management science|Data science|Sociology|Computer science|Business|Engineering|Epistemology|Political science,True|||True|
Co坼citation in the scientific literature: A new measure of the relationship between two documents,1973,Journal of the American Society for Information Science,https://doi.org/10.1002/asi.4630240406,Bibliographic coupling|Citation|Search engine indexing|Information retrieval|Computer science|Measure (data warehouse)|Science Citation Index|Scientific literature|Data science|Citation analysis|Co-citation|Library science|Data mining|Biology,any location CWTS core
The journal coverage of Web of Science and Scopus: a comparative analysis,2015,Scientometrics,https://doi.org/10.1007/s11192-015-1765-5,Scopus|Web of science|Directory|Computer science|Scientometrics|Bibliometrics|Data science|Library science|Information retrieval|Political science|MEDLINE,True|False|False|False|False
"Comparison of PubMed, Scopus, Web of Science, and Google Scholar: strengths and weaknesses",2007,The FASEB Journal,https://doi.org/10.1096/fj.07-9492lsf,Scopus|Web of science|Citation|Computer science|Information retrieval|World Wide Web|Subject (documents)|Citation analysis|Citation database|Bibliometrics|Index (typography)|Data science|MEDLINE|Political science,True|False
Networks of Scientific Papers,1965,Science,https://doi.org/10.1126/science.149.3683.510,Data science|Computer science,True|False
The bibliometric analysis of scholarly production: How great is the impact?,2015,Scientometrics,https://doi.org/10.1007/s11192-015-1645-z,Bibliometrics|Production (economics)|Knowledge production|Regional science|Citation analysis|Computer science|Sociology|Library science|Knowledge management|Economics|Citation,True|False|False|False|False|False
What is research collaboration?,1997,Research Policy,https://doi.org/10.1016/s0048-7333(96)00917-1,Measure (data warehouse)|Business|Knowledge management|Sociology|Public relations|Political science|Computer science,True||False|False
Citation Analysis as a Tool in Journal Evaluation,1972,Science,https://doi.org/10.1126/science.178.4060.471,Citation|Citation analysis|Information retrieval|Computer science|Data science|Library science,True|False
Bibliometrics: The Leiden Manifesto for research metrics,2015,Nature,https://doi.org/10.1038/520429a,Manifesto|Bibliometrics|Library science|Computer science|Political science|Law,True|False|False|False|False|False
The History and Meaning of the Journal Impact Factor,2006,JAMA,https://doi.org/10.1001/jama.295.1.90,Medicine|Meaning (existential)|Impact factor|Epistemology|Law,True|False|False
Web of Science (WoS) and Scopus: The Titans of Bibliographic Information in Today＊s Academic World,2021,Publications,https://doi.org/10.3390/publications9010012,Scopus|Computer science|Metadata|Citation|Web of science|Competence (human resources)|World Wide Web|Citation analysis|Data science|Bibliometrics|Information retrieval|MEDLINE|Psychology|Political science,True|False|False
Why the impact factor of journals should not be used for evaluating research,1997,BMJ,https://doi.org/10.1136/bmj.314.7079.497,Impact factor|Factor (programming language)|Psychology|Computer science|Political science|Law|Programming language,False|False|False
The Role of Google Scholar in Evidence Reviews and Its Applicability to Grey Literature Searching,2015,PLoS ONE,https://doi.org/10.1371/journal.pone.0138237,Grey literature|Systematic review|Web of science|Information retrieval|Resource (disambiguation)|Computer science|World Wide Web|MEDLINE|Library science|Meta-analysis|Medicine|Biology|Pathology,True|False|False|False|False|False|False|False
Theory and practise of the g-index,2006,Scientometrics,https://doi.org/10.1007/s11192-006-0144-7,Index (typography)|Regional science|Computer science|Sociology|World Wide Web,True|False|False
The frequency distribution of scientific productivity,1926,Journal of the Washington Academy of Sciences,,Distribution (mathematics)|Productivity|Environmental science|Geography|Mathematics|Economics|Economic growth,not any location CWTS core
"Google Scholar, Web of Science, and Scopus: A systematic comparison of citations in 252 subject categories",2018,Journal of Informetrics,https://doi.org/10.1016/j.joi.2018.09.002,Scopus|Subject (documents)|Web of science|Computer science|Information retrieval|Bibliometrics|Webometrics|World Wide Web|Data science|Library science|MEDLINE|Political science,True|False|False|False|False|False|False
A Comparison between Two Main Academic Literature Collections: Web of Science and Scopus Databases,2013,Asian Social Science,https://doi.org/10.5539/ass.v9n5p18,Scopus|Web of science|Prestige|Rank (graph theory)|Database|Computer science|Bibliographic database|Publishing|World Wide Web|Information retrieval|Political science|MEDLINE|Mathematics,True|False|False
"The journal coverage of Web of Science, Scopus and Dimensions: A comparative analysis",2021,Scientometrics,https://doi.org/10.1007/s11192-021-03948-5,Scopus|Web of science|Subject (documents)|Bibliometrics|Scientometrics|Bibliographic database,True|False|False
"Google Scholar, Scopus and the Web of Science: a longitudinal and cross-disciplinary comparison",2015,Scientometrics,https://doi.org/10.1007/s11192-015-1798-9,Scopus|Discipline|Cross disciplinary|Web of science|Index (typography)|Bibliometrics|Data science|Library science|Computer science|Sociology|World Wide Web|Social science|MEDLINE|Political science,True|False|False
The Impact of Research Collaboration on Scientific Productivity,2005,Social Studies of Science,https://doi.org/10.1177/0306312705052359,Productivity|Publishing|Citizenship|Curriculum|Rank (graph theory)|Marital status|Sociology|Psychology|Public relations|Social science|Political science|Economics|Economic growth|Demography,any location CWTS core
Toward a definition of ※bibliometrics§,1987,Scientometrics,https://doi.org/10.1007/bf02016680,Bibliometrics|Zipf's law|Term (time)|Informetrics|Computer science|Information retrieval|Scientometrics|Data science|Epistemology|Sociology|Social science|Library science|Mathematics|Philosophy|Statistics,any location CWTS core
Publication bias in the social sciences: Unlocking the file drawer,2014,Science,https://doi.org/10.1126/science.1255484,Null (SQL)|Worry|Publication bias|Computer science|Psychology|Statistics|Mathematics|Data mining,True|False|False
What do citation counts measure? A review of studies on citing behavior,2008,Journal of Documentation,https://doi.org/10.1108/00220410810844150,Citation|Originality|Scholarship|Value (mathematics)|Bibliometrics|Phenomenon|Cognition|Citation analysis|Narrative|Narrative review|Empirical research|Psychology|Epistemology|Data science|Social science|Sociology|Computer science|Library science|Political science|Qualitative research,True|False
Growth rates of modern science: A bibliometric analysis based on the number of publications and cited references,2015,Journal of the Association for Information Science and Technology,https://doi.org/10.1002/asi.23329,Bibliometrics|Web of science|Natural science|Computer science|Data science|Library science|Statistics|MEDLINE|Mathematics|Political science|Epistemology|Philosophy,True|False
